,rows,columns,rho,N,l,allocation,T,gdf_points_sample,needed_sample,T/(rows*columns),RA/(rows*columns)
0,10,10,-0.9,50000,5,neyman,25,"           0                geometry  comuna    values   sigma_i  region
12555  12555   POINT (58.020 55.202)       0  5.063775  2.613663       0
42079  42079   POINT (64.524 58.453)       0  5.063775  2.613663       0
16792  16792   POINT (51.327 66.474)       0  5.063775  2.613663       0
33146  33146   POINT (49.160 47.682)       0  5.063775  2.613663       0
17373  17373   POINT (50.274 73.989)       0  5.063775  2.613663       0
...      ...                     ...     ...       ...       ...     ...
49270  49270  POINT (70.855 104.610)       4 -0.751759  3.069550      99
21944  21944   POINT (73.414 62.830)       4 -0.751759  3.069550      99
5994    5994   POINT (98.737 64.761)       4 -0.751759  3.069550      99
34846  34846   POINT (79.330 96.309)       4 -0.751759  3.069550      99
39856  39856   POINT (64.707 78.832)       4 -0.751759  3.069550      99

[5845 rows x 6 columns]","[26.0, 24.0, 26.0, 28.0, 26.0, 30.0, 31.0, 30.0, 28.0, 33.0, 20.0, 26.0, 21.0, 33.0, 24.0, 27.0, 21.0, 24.0, 23.0, 18.0, 15.0, 22.0, 21.0, 20.0, 18.0, 18.0, 23.0, 27.0, 22.0, 24.0, 21.0, 40.0, 36.0, 38.0, 37.0, 32.0, 38.0, 47.0, 40.0, 52.0, 31.0, 42.0, 38.0, 47.0, 47.0, 32.0, 41.0, 47.0, 40.0, 42.0, 32.0, 27.0, 37.0, 41.0, 38.0, 48.0, 44.0, 57.0, 68.0, 67.0, 30.0, 22.0, 22.0, 21.0, 26.0, 20.0, 41.0, 38.0, 34.0, 42.0, 20.0, 20.0, 24.0, 16.0, 20.0, 40.0, 42.0, 44.0, 39.0, 40.0, 22.0, 20.0, 26.0, 24.0, 23.0, 38.0, 40.0, 49.0, 41.0, 31.0, 19.0, 19.0, 22.0, 24.0, 27.0, 42.0, 50.0, 44.0, 39.0, 50.0]",0.25,1.0
1,10,10,-0.9,50000,5,neyman,30,"           0                geometry  comuna    values   sigma_i  region
24903  24903   POINT (56.207 89.557)       0  2.615101  1.188510       0
9202    9202   POINT (40.601 59.392)       0  2.615101  1.188510       0
33298  33298   POINT (32.821 73.428)       0  2.615101  1.188510       0
16398  16398   POINT (53.318 55.605)       0  2.615101  1.188510       0
35308  35308   POINT (31.213 72.924)       0  2.615101  1.188510       0
...      ...                     ...     ...       ...       ...     ...
28335  28335   POINT (71.060 95.356)       4  0.947419  2.129185      37
43396  43396   POINT (95.292 82.818)       4  0.947419  2.129185      37
5022    5022  POINT (56.442 101.682)       4  0.947419  2.129185      37
27314  27314   POINT (67.396 93.043)       4  0.947419  2.129185      37
32593  32593   POINT (74.965 89.841)       4  0.947419  2.129185      37

[2543 rows x 6 columns]","[11.0, 13.0, 12.0, 13.0, 12.0, 21.0, 16.0, 15.0, 22.0, 19.0, 16.0, 17.0, 24.0, 27.0, 14.0, 24.0, 16.0, 13.0, 13.0, 13.0, 15.0, 27.0, 22.0, 26.0, 29.0, 18.0, 18.0, 32.0, 35.0, 28.0, 22.0, 29.0, 45.0, 19.0, 18.0, 35.0, 23.0, 18.0, 29.0, 38.0, 29.0, 28.0, 22.0, 19.0, 23.0, 38.0, 29.0, 34.0, 36.0, 31.0, 19.0, 30.0, 27.0, 24.0, 24.0, 29.0, 27.0, 25.0, 22.0]",0.3,0.59
2,10,10,-0.9,50000,5,neyman,50,"           0                geometry  comuna    values   sigma_i  region
29299  29299   POINT (59.112 63.426)       0 -2.633302  1.344648       0
28569  28569   POINT (42.505 59.684)       0 -2.633302  1.344648       0
21677  21677   POINT (38.541 53.627)       0 -2.633302  1.344648       0
15375  15375   POINT (57.438 80.303)       0 -2.633302  1.344648       0
13832  13832   POINT (62.557 62.692)       0 -2.633302  1.344648       0
...      ...                     ...     ...       ...       ...     ...
25379  25379  POINT (54.759 103.268)       4  0.858866  1.741925      32
16201  16201   POINT (75.299 73.447)       4  0.858866  1.741925      32
29863  29863  POINT (58.008 108.941)       4  0.858866  1.741925      32
22829  22829   POINT (79.186 67.483)       4  0.858866  1.741925      32
41741  41741   POINT (96.507 80.297)       4  0.858866  1.741925      32

[3641 rows x 6 columns]","[27.0, 17.0, 21.0, 18.0, 18.0, 24.0, 18.0, 17.0, 22.0, 20.0, 43.0, 36.0, 43.0, 42.0, 39.0, 39.0, 38.0, 49.0, 42.0, 40.0, 43.0, 19.0, 22.0, 22.0, 57.0, 49.0, 41.0, 38.0, 46.0, 29.0, 52.0, 80.0, 28.0, 57.0, 24.0, 57.0, 48.0, 60.0, 19.0, 53.0, 21.0, 56.0, 49.0, 36.0, 61.0, 32.0, 56.0, 37.0, 30.0, 62.0, 20.0, 34.0, 33.0, 61.0]",0.5,0.54
3,10,10,-0.9,50000,5,neyman,100,"           0               geometry  comuna    values   sigma_i  region
42475  42475  POINT (42.984 54.429)       0 -2.956587  1.612481       8
3213    3213  POINT (32.215 63.672)       0 -2.956587  1.612481       8
10032  10032  POINT (39.779 67.257)       0 -2.956587  1.612481       8
9294    9294  POINT (57.463 76.272)       0 -2.956587  1.612481       8
21349  21349  POINT (53.267 68.796)       0 -2.956587  1.612481       8
...      ...                    ...     ...       ...       ...     ...
38059  38059  POINT (87.393 86.671)       4 -2.440951  1.651758       0
14361  14361  POINT (77.302 99.577)       4 -2.440951  1.651758       0
23426  23426  POINT (99.161 67.114)       4 -2.440951  1.651758       0
46486  46486  POINT (89.577 70.885)       4 -2.440951  1.651758       0
40942  40942  POINT (73.188 64.186)       4 -2.440951  1.651758       0

[1734 rows x 6 columns]","[68.0, 71.0, 68.0, 62.0, 55.0, 63.0, 63.0, 64.0, 70.0, 65.0, 73.0, 52.0, 65.0, 55.0]",1.0,0.14
4,10,10,-0.9,50000,5,neyman,150,"           0               geometry  comuna    values   sigma_i  region
23539  23539  POINT (68.498 69.278)       0 -0.217360  1.536558      20
16755  16755  POINT (37.126 53.699)       0 -0.217360  1.536558      20
823      823  POINT (52.757 69.025)       0 -0.217360  1.536558      20
5312    5312  POINT (50.568 50.291)       0 -0.217360  1.536558      20
37622  37622  POINT (55.540 50.974)       0 -0.217360  1.536558      20
...      ...                    ...     ...       ...       ...     ...
14290  14290  POINT (76.658 88.492)       4  0.670249  2.157595      12
23633  23633  POINT (89.708 69.189)       4  0.670249  2.157595      12
31601  31601  POINT (84.998 83.489)       4  0.670249  2.157595      12
44392  44392  POINT (75.785 68.207)       4  0.670249  2.157595      12
40283  40283  POINT (81.988 98.930)       4  0.670249  2.157595      12

[4281 rows x 6 columns]","[239.0, 142.0, 147.0, 120.0, 165.0, 61.0, 143.0, 195.0, 132.0, 98.0, 180.0, 178.0, 77.0, 149.0, 167.0, 60.0, 90.0, 46.0, 62.0, 82.0, 49.0]",1.5,0.21
5,10,10,-0.9,50000,5,proportional,25,"           0               geometry  comuna    values   sigma_i  region
23387  23387  POINT (45.369 66.926)       0  2.716104  1.306941       4
41647  41647  POINT (58.216 82.034)       0  2.716104  1.306941       4
31048  31048  POINT (49.533 87.393)       0  2.716104  1.306941       4
28617  28617  POINT (47.615 60.983)       0  2.716104  1.306941       4
20016  20016  POINT (28.975 63.755)       0  2.716104  1.306941       4
...      ...                    ...     ...       ...       ...     ...
8043    8043  POINT (70.602 84.276)       4 -2.158025  1.884910      30
3940    3940  POINT (97.914 60.362)       4 -2.158025  1.884910      30
28309  28309  POINT (74.666 65.745)       4 -2.158025  1.884910      30
3617    3617  POINT (61.541 95.892)       4 -2.158025  1.884910      30
35893  35893  POINT (83.990 65.832)       4 -2.158025  1.884910      30

[1520 rows x 6 columns]","[15.0, 29.0, 23.0, 16.0, 13.0, 33.0, 24.0, 22.0, 35.0, 27.0, 23.0, 19.0, 26.0, 16.0, 18.0, 31.0, 24.0, 17.0, 21.0, 16.0, 12.0, 16.0, 27.0, 22.0, 22.0, 23.0, 36.0, 21.0, 14.0, 14.0, 31.0, 22.0, 12.0, 18.0, 16.0, 25.0, 30.0, 27.0, 16.0, 32.0, 22.0, 19.0, 34.0, 18.0]",0.25,0.44
6,10,10,-0.9,50000,5,proportional,30,"           0                geometry  comuna    values   sigma_i  region
32956  32956   POINT (44.518 52.944)       0  1.884745  2.516196      64
25848  25848   POINT (54.786 66.487)       0  1.884745  2.516196      64
408      408   POINT (50.813 64.540)       0  1.884745  2.516196      64
3068    3068   POINT (43.698 60.789)       0  1.884745  2.516196      64
19947  19947   POINT (57.485 55.699)       0  1.884745  2.516196      64
...      ...                     ...     ...       ...       ...     ...
29371  29371   POINT (60.776 78.191)       4 -3.247249  3.105833      40
16807  16807   POINT (92.411 98.966)       4 -3.247249  3.105833      40
49680  49680   POINT (68.961 80.043)       4 -3.247249  3.105833      40
16727  16727  POINT (60.874 104.478)       4 -3.247249  3.105833      40
10607  10607   POINT (66.871 74.702)       4 -3.247249  3.105833      40

[2807 rows x 6 columns]","[20.0, 36.0, 19.0, 21.0, 20.0, 20.0, 23.0, 29.0, 23.0, 23.0, 31.0, 29.0, 26.0, 29.0, 23.0, 26.0, 15.0, 17.0, 15.0, 16.0, 16.0, 16.0, 17.0, 16.0, 16.0, 15.0, 26.0, 25.0, 22.0, 24.0, 21.0, 22.0, 22.0, 23.0, 24.0, 24.0, 25.0, 24.0, 27.0, 45.0, 24.0, 65.0, 43.0, 32.0, 40.0, 42.0, 38.0, 46.0, 33.0, 34.0, 24.0, 35.0, 42.0, 49.0, 64.0, 59.0, 57.0, 35.0, 37.0, 40.0, 24.0, 34.0, 24.0, 33.0, 23.0]",0.3,0.65
7,10,10,-0.9,50000,5,proportional,50,"           0                geometry  comuna    values   sigma_i  region
12456  12456   POINT (58.365 48.382)       0 -1.229917  1.571415      21
5879    5879   POINT (55.812 63.219)       0 -1.229917  1.571415      21
23659  23659   POINT (66.265 50.829)       0 -1.229917  1.571415      21
46268  46268   POINT (52.412 43.605)       0 -1.229917  1.571415      21
26176  26176   POINT (49.819 49.959)       0 -1.229917  1.571415      21
...      ...                     ...     ...       ...       ...     ...
45470  45470   POINT (91.699 61.469)       4  0.733134  3.939427       5
26453  26453  POINT (75.489 102.662)       4  0.733134  3.939427       5
29164  29164   POINT (84.240 67.176)       4  0.733134  3.939427       5
10249  10249  POINT (69.435 109.651)       4  0.733134  3.939427       5
31509  31509   POINT (73.277 98.903)       4  0.733134  3.939427       5

[2744 rows x 6 columns]","[46.0, 41.0, 40.0, 53.0, 24.0, 66.0, 79.0, 59.0, 57.0, 45.0, 43.0, 21.0, 40.0, 31.0, 46.0, 19.0, 26.0, 47.0, 20.0, 26.0, 46.0, 29.0, 54.0, 15.0, 14.0, 19.0, 27.0, 18.0, 64.0, 39.0, 41.0, 37.0, 20.0, 84.0, 38.0, 15.0, 66.0, 48.0, 22.0, 37.0, 34.0, 37.0]",0.5,0.42
8,10,10,-0.9,50000,5,proportional,100,"           0                geometry  comuna    values   sigma_i  region
19627  19627   POINT (31.666 58.931)       0  0.575405  3.021977      10
8194    8194   POINT (65.273 51.318)       0  0.575405  3.021977      10
29604  29604   POINT (42.815 60.303)       0  0.575405  3.021977      10
26778  26778   POINT (41.983 46.725)       0  0.575405  3.021977      10
22942  22942   POINT (27.457 61.565)       0  0.575405  3.021977      10
...      ...                     ...     ...       ...       ...     ...
38140  38140   POINT (71.014 94.778)       4 -0.870657  3.058010       6
12841  12841  POINT (80.274 101.609)       4 -0.870657  3.058010       6
3014    3014  POINT (76.327 107.191)       4 -0.870657  3.058010       6
28566  28566   POINT (75.732 79.449)       4 -0.870657  3.058010       6
44408  44408  POINT (62.675 104.917)       4 -0.870657  3.058010       6

[2256 rows x 6 columns]","[66.0, 73.0, 85.0, 105.0, 73.0, 75.0, 124.0, 110.0, 149.0, 75.0, 134.0, 72.0, 104.0, 93.0, 84.0, 53.0]",1.0,0.16
9,10,10,-0.9,50000,5,proportional,150,"           0                geometry  comuna    values   sigma_i  region
8338    8338   POINT (38.169 57.280)       0 -0.342854  2.434113       4
23536  23536   POINT (56.115 72.163)       0 -0.342854  2.434113       4
22728  22728   POINT (41.444 70.843)       0 -0.342854  2.434113       4
15075  15075   POINT (60.900 59.327)       0 -0.342854  2.434113       4
7645    7645   POINT (51.120 77.238)       0 -0.342854  2.434113       4
...      ...                     ...     ...       ...       ...     ...
15284  15284   POINT (70.574 75.976)       4  0.960787  2.713960       3
5331    5331   POINT (67.424 90.102)       4  0.960787  2.713960       3
43937  43937   POINT (91.787 86.311)       4  0.960787  2.713960       3
30610  30610  POINT (97.933 103.860)       4  0.960787  2.713960       3
28533  28533  POINT (88.208 103.311)       4  0.960787  2.713960       3

[1667 rows x 6 columns]","[93.0, 100.0, 151.0, 154.0, 151.0, 106.0, 137.0, 111.0, 97.0]",1.5,0.09
