,sample,T,rho
0,26.0,25,-0.9
1,24.0,25,-0.9
2,26.0,25,-0.9
3,28.0,25,-0.9
4,26.0,25,-0.9
5,30.0,25,-0.9
6,31.0,25,-0.9
7,30.0,25,-0.9
8,28.0,25,-0.9
9,33.0,25,-0.9
10,20.0,25,-0.9
11,26.0,25,-0.9
12,21.0,25,-0.9
13,33.0,25,-0.9
14,24.0,25,-0.9
15,27.0,25,-0.9
16,21.0,25,-0.9
17,24.0,25,-0.9
18,23.0,25,-0.9
19,18.0,25,-0.9
20,15.0,25,-0.9
21,22.0,25,-0.9
22,21.0,25,-0.9
23,20.0,25,-0.9
24,18.0,25,-0.9
25,18.0,25,-0.9
26,23.0,25,-0.9
27,27.0,25,-0.9
28,22.0,25,-0.9
29,24.0,25,-0.9
30,21.0,25,-0.9
31,40.0,25,-0.9
32,36.0,25,-0.9
33,38.0,25,-0.9
34,37.0,25,-0.9
35,32.0,25,-0.9
36,38.0,25,-0.9
37,47.0,25,-0.9
38,40.0,25,-0.9
39,52.0,25,-0.9
40,31.0,25,-0.9
41,42.0,25,-0.9
42,38.0,25,-0.9
43,47.0,25,-0.9
44,47.0,25,-0.9
45,32.0,25,-0.9
46,41.0,25,-0.9
47,47.0,25,-0.9
48,40.0,25,-0.9
49,42.0,25,-0.9
50,32.0,25,-0.9
51,27.0,25,-0.9
52,37.0,25,-0.9
53,41.0,25,-0.9
54,38.0,25,-0.9
55,48.0,25,-0.9
56,44.0,25,-0.9
57,57.0,25,-0.9
58,68.0,25,-0.9
59,67.0,25,-0.9
60,30.0,25,-0.9
61,22.0,25,-0.9
62,22.0,25,-0.9
63,21.0,25,-0.9
64,26.0,25,-0.9
65,20.0,25,-0.9
66,41.0,25,-0.9
67,38.0,25,-0.9
68,34.0,25,-0.9
69,42.0,25,-0.9
70,20.0,25,-0.9
71,20.0,25,-0.9
72,24.0,25,-0.9
73,16.0,25,-0.9
74,20.0,25,-0.9
75,40.0,25,-0.9
76,42.0,25,-0.9
77,44.0,25,-0.9
78,39.0,25,-0.9
79,40.0,25,-0.9
80,22.0,25,-0.9
81,20.0,25,-0.9
82,26.0,25,-0.9
83,24.0,25,-0.9
84,23.0,25,-0.9
85,38.0,25,-0.9
86,40.0,25,-0.9
87,49.0,25,-0.9
