,rho,needed_samples,threshold_value,needed_sample_T,check
0,-0.99,"[2094.0, 1847.0, 2511.0, 4792.0, 2430.0, 5931.0, 1812.0, 2329.0, 1638.0, 3055.0]",787,"[567.0, 608.0, 450.0, 467.0, 618.0, 505.0, 654.0]",True
1,-0.89,"[254.0, 275.0, 391.0, 424.0, 411.0, 315.0, 284.0, 483.0, 254.0, 221.0]",40,"[34.0, 22.0, 22.0, 19.0, 26.0, 26.0, 25.0, 21.0, 36.0, 34.0, 30.0, 20.0, 35.0, 21.0, 23.0, 33.0, 35.0, 28.0, 32.0, 23.0, 35.0, 29.0, 32.0, 20.0, 26.0, 32.0, 28.0, 34.0, 23.0, 20.0, 35.0, 27.0, 38.0, 28.0, 21.0, 26.0, 20.0, 19.0, 23.0, 34.0, 34.0, 25.0, 25.0, 31.0, 24.0, 20.0, 26.0, 24.0, 20.0, 22.0, 26.0]",True
2,-0.79,"[164.0, 143.0, 133.0, 184.0, 191.0, 155.0, 179.0, 206.0, 130.0, 136.0]",78,"[67.0, 61.0, 40.0, 57.0, 48.0, 66.0, 48.0, 61.0, 68.0, 42.0, 47.0, 58.0, 60.0, 52.0, 64.0]",True
3,-0.6900000000000001,"[156.0, 126.0, 121.0, 149.0, 107.0, 153.0, 162.0, 155.0, 100.0, 106.0]",48,"[40.0, 25.0, 40.0, 41.0, 25.0, 32.0, 40.0, 25.0, 37.0, 45.0, 35.0, 30.0, 33.0, 46.0, 32.0, 32.0, 35.0, 31.0, 31.0]",True
4,-0.5900000000000001,"[119.0, 82.0, 101.0, 138.0, 146.0, 131.0, 128.0, 166.0, 124.0, 124.0]",26,"[15.0, 19.0, 22.0, 19.0, 17.0, 21.0, 15.0, 15.0, 17.0, 12.0, 16.0, 19.0, 11.0, 14.0, 16.0, 20.0, 17.0, 21.0, 15.0, 13.0, 10.0, 12.0, 14.0, 19.0, 10.0, 19.0, 21.0, 14.0, 21.0, 19.0, 18.0, 15.0, 16.0, 17.0, 19.0]",True
5,-0.4900000000000001,"[112.0, 74.0, 68.0, 99.0, 141.0, 110.0, 86.0, 75.0, 84.0, 80.0]",41,"[25.0, 32.0, 24.0, 26.0, 24.0, 30.0, 23.0, 27.0, 21.0, 22.0, 31.0, 26.0, 31.0, 20.0, 22.0, 22.0, 18.0, 28.0, 25.0, 35.0, 23.0, 26.0, 21.0]",True
6,-0.3900000000000001,"[108.0, 89.0, 84.0, 118.0, 100.0, 127.0, 104.0, 121.0, 97.0, 79.0]",48,"[40.0, 35.0, 40.0, 26.0, 34.0, 30.0, 44.0, 31.0, 45.0, 25.0, 37.0, 37.0]",True
7,-0.29000000000000015,"[94.0, 95.0, 75.0, 95.0, 98.0, 111.0, 106.0, 108.0, 80.0, 64.0]",48,"[26.0, 23.0, 35.0, 25.0, 43.0, 34.0, 35.0, 47.0, 27.0, 33.0, 34.0, 27.0, 37.0, 22.0]",True
8,-0.19000000000000017,"[59.0, 80.0, 87.0, 96.0, 117.0, 81.0, 126.0, 96.0, 97.0, 75.0]",36,"[22.0, 25.0, 25.0, 22.0, 26.0, 35.0, 33.0, 29.0, 34.0, 27.0, 25.0, 22.0, 22.0, 27.0, 22.0, 19.0]",True
9,-0.09000000000000019,"[59.0, 70.0, 65.0, 68.0, 88.0, 87.0, 93.0, 89.0, 67.0, 54.0]",32,"[19.0, 26.0, 18.0, 22.0, 26.0, 21.0, 24.0, 21.0, 26.0, 19.0, 18.0, 24.0, 29.0, 18.0, 21.0, 30.0, 18.0, 17.0]",True
10,0.009999999999999787,"[73.0, 89.0, 74.0, 113.0, 93.0, 99.0, 92.0, 111.0, 86.0, 94.0]",54,"[36.0, 52.0, 35.0, 52.0, 50.0, 33.0, 36.0, 38.0, 42.0, 32.0]",True
